%	V.id	R.x	R.y	R.z
1	8.122299e+02	8.146938e+02	5.209516e+02
1	8.112720e+02	8.197524e+02	5.232993e+02
1	8.081163e+02	8.197717e+02	5.238195e+02
1	7.975357e+02	8.222678e+02	5.234145e+02
1	7.911220e+02	8.209703e+02	5.211156e+02
1	8.143199e+02	8.250216e+02	5.182385e+02
2	8.127786e+02	8.240715e+02	5.176751e+02
2	8.097608e+02	8.274938e+02	5.202985e+02
1	8.087255e+02	8.288846e+02	5.211723e+02
1	8.138093e+02	8.281980e+02	5.212613e+02
2	8.101265e+02	8.169160e+02	5.098647e+02
1	8.097282e+02	8.170324e+02	5.082309e+02
1	8.098686e+02	8.152695e+02	5.107523e+02
2	8.239358e+02	8.304409e+02	5.095069e+02
1	8.235205e+02	8.306319e+02	5.085732e+02
1	8.220291e+02	8.276808e+02	5.082327e+02
1	8.207534e+02	8.264532e+02	5.054763e+02
2	8.278722e+02	8.312554e+02	5.126699e+02
1	8.298783e+02	8.247789e+02	5.139099e+02
1	8.314874e+02	8.216683e+02	5.134749e+02
2	8.456817e+02	7.839877e+02	5.278055e+02
2	8.483785e+02	7.839999e+02	5.281959e+02
2	8.482571e+02	7.819497e+02	5.297658e+02
1	8.602700e+02	7.751804e+02	5.406986e+02
1	8.633078e+02	7.768646e+02	5.484158e+02
1	8.617873e+02	7.775926e+02	5.506816e+02
1	8.494734e+02	7.846372e+02	5.279250e+02
2	8.573769e+02	7.897003e+02	5.276585e+02
1	8.601908e+02	7.890243e+02	5.264376e+02
1	8.446038e+02	7.824395e+02	5.290191e+02
1	8.342685e+02	8.222998e+02	5.131519e+02
1	8.483618e+02	8.565818e+02	4.983456e+02
2	8.326140e+02	8.748356e+02	4.971054e+02
2	8.270599e+02	8.745857e+02	5.072633e+02
1	8.251514e+02	8.773685e+02	5.158317e+02
1	8.240740e+02	8.787646e+02	5.180726e+02
1	8.314907e+02	8.773585e+02	4.951048e+02
1	8.294168e+02	8.782506e+02	4.933009e+02
2	8.544762e+02	8.671025e+02	4.553500e+02
1	8.527161e+02	8.649145e+02	4.529028e+02
1	8.512107e+02	8.625396e+02	4.534081e+02
1	8.543481e+02	8.623050e+02	4.628950e+02
2	8.621113e+02	8.706146e+02	4.148796e+02
1	8.620136e+02	8.702297e+02	4.128036e+02
2	8.681982e+02	8.936384e+02	4.070741e+02
1	8.700310e+02	9.103003e+02	4.025011e+02
2	8.709004e+02	9.328707e+02	3.919256e+02
1	8.729177e+02	9.372680e+02	3.876246e+02
1	8.747949e+02	9.359229e+02	3.857186e+02
2	8.752838e+02	9.368879e+02	3.842775e+02
1	8.757605e+02	9.372288e+02	3.827295e+02
1	8.757884e+02	9.332404e+02	3.851131e+02
2	8.728105e+02	9.385129e+02	3.868241e+02
2	8.745616e+02	9.411378e+02	3.872562e+02
1	8.772945e+02	9.447609e+02	3.929822e+02
1	8.766854e+02	9.462641e+02	3.947515e+02
2	8.818944e+02	9.474900e+02	3.994139e+02
1	8.819291e+02	9.510118e+02	4.004307e+02
1	8.843853e+02	9.460868e+02	4.002526e+02
1	8.880607e+02	9.456657e+02	4.001572e+02
1	8.720901e+02	9.512417e+02	4.005670e+02
1	8.685805e+02	9.515875e+02	4.053028e+02
1	8.651048e+02	9.513585e+02	4.049167e+02
2	8.727428e+02	9.560777e+02	4.022823e+02
1	8.758481e+02	9.439234e+02	3.851073e+02
2	8.758113e+02	9.456492e+02	3.819750e+02
1	8.774748e+02	9.487799e+02	3.800694e+02
2	8.711632e+02	9.394339e+02	3.844662e+02
2	8.693354e+02	9.404485e+02	3.820737e+02
2	8.665752e+02	9.421053e+02	3.794312e+02
2	8.636973e+02	9.417794e+02	3.792362e+02
1	8.605729e+02	9.414527e+02	3.772819e+02
1	8.568493e+02	9.418069e+02	3.778322e+02
2	8.665763e+02	9.438334e+02	3.769762e+02
1	8.660721e+02	9.443576e+02	3.746420e+02
1	8.692306e+02	8.938363e+02	4.071273e+02
1	8.639275e+02	8.700219e+02	4.153573e+02
2	8.745188e+02	8.741060e+02	4.227902e+02
1	8.780173e+02	8.723340e+02	4.253988e+02
2	8.819549e+02	8.711318e+02	4.322006e+02
1	8.819398e+02	8.728978e+02	4.327918e+02
2	8.809296e+02	8.742837e+02	4.321192e+02
1	8.834245e+02	8.701764e+02	4.331159e+02
2	8.836312e+02	8.697494e+02	4.342697e+02
2	8.812892e+02	8.674479e+02	4.349989e+02
1	8.842376e+02	8.691815e+02	4.355010e+02
1	8.802448e+02	8.702070e+02	4.235063e+02
1	8.741537e+02	8.752954e+02	4.229460e+02
1	8.620248e+02	8.742530e+02	4.095615e+02
2	8.650494e+02	8.613829e+02	3.367374e+02
1	8.694060e+02	8.647287e+02	3.351190e+02
1	8.651233e+02	8.592974e+02	3.274632e+02
1	8.699262e+02	8.623777e+02	3.228077e+02
1	8.631161e+02	8.567357e+02	3.075507e+02
1	8.633669e+02	8.448096e+02	2.191501e+02
