%	I.id	Rstop.x	Rstop.y	Rstop.z
1	8.295545e+02	8.310796e+02	5.086451e+02
2	8.221900e+02	8.224289e+02	4.999413e+02
1	8.155162e+02	8.253288e+02	5.080232e+02
1	8.222900e+02	8.225982e+02	5.089826e+02
1	8.185563e+02	8.336553e+02	5.005716e+02
1	8.616067e+02	7.801954e+02	5.507921e+02
1	8.588476e+02	7.752831e+02	5.571312e+02
1	8.654379e+02	7.746265e+02	5.500419e+02
1	8.618382e+02	7.713861e+02	5.450788e+02
2	8.420321e+02	7.821114e+02	5.310646e+02
2	8.494693e+02	7.846500e+02	5.279400e+02
1	8.618529e+02	7.864158e+02	5.273227e+02
1	8.636859e+02	7.891861e+02	5.256910e+02
2	8.549332e+02	7.929432e+02	5.321442e+02
2	8.426014e+02	7.823175e+02	5.305342e+02
1	8.375259e+02	7.723596e+02	5.309616e+02
1	8.403473e+02	8.209538e+02	5.121372e+02
1	8.386985e+02	8.248560e+02	5.148301e+02
1	8.270999e+02	8.237285e+02	5.176244e+02
2	8.263221e+02	8.312375e+02	5.181168e+02
1	8.252204e+02	8.436463e+02	5.102467e+02
2	8.496144e+02	8.535480e+02	4.987727e+02
1	8.488161e+02	8.586378e+02	4.966626e+02
1	8.274800e+02	8.710525e+02	5.033082e+02
2	8.338367e+02	8.810995e+02	5.192704e+02
1	8.197265e+02	8.767454e+02	5.200395e+02
1	8.254915e+02	8.792211e+02	5.207346e+02
2	8.276317e+02	8.791650e+02	4.932354e+02
1	8.328886e+02	8.792612e+02	4.894834e+02
1	8.359447e+02	8.791310e+02	4.924255e+02
2	8.512453e+02	8.624502e+02	4.533183e+02
1	8.446193e+02	8.601041e+02	4.527491e+02
1	8.410130e+02	8.540113e+02	4.473985e+02
2	8.536328e+02	8.620052e+02	4.645163e+02
1	8.542169e+02	8.591893e+02	4.658695e+02
2	8.639727e+02	8.683659e+02	4.134577e+02
2	8.669279e+02	8.747381e+02	4.202313e+02
1	8.787610e+02	9.362825e+02	3.861768e+02
2	8.755085e+02	9.373781e+02	3.823932e+02
1	8.774193e+02	9.339562e+02	3.790405e+02
1	8.776120e+02	9.335428e+02	3.852974e+02
1	8.759493e+02	9.314328e+02	3.846764e+02
1	8.841338e+02	9.493264e+02	4.025222e+02
1	8.785289e+02	9.589749e+02	4.005824e+02
2	8.854263e+02	9.410826e+02	4.019328e+02
1	8.883561e+02	9.459497e+02	4.024201e+02
1	8.913730e+02	9.470216e+02	3.992396e+02
1	8.650456e+02	9.538786e+02	4.119569e+02
1	8.625110e+02	9.527353e+02	4.069118e+02
1	8.585075e+02	9.519875e+02	4.042878e+02
1	8.728237e+02	9.560428e+02	4.023649e+02
2	8.727630e+02	9.622545e+02	4.044135e+02
1	8.848689e+02	9.427368e+02	3.933396e+02
2	8.736514e+02	9.444233e+02	3.801497e+02
2	8.782100e+02	9.510036e+02	3.744431e+02
1	8.756208e+02	9.518990e+02	3.828061e+02
1	8.770897e+02	9.483944e+02	3.860150e+02
2	8.711380e+02	9.394512e+02	3.844922e+02
2	8.707489e+02	9.408152e+02	3.799170e+02
2	8.636444e+02	9.418485e+02	3.794762e+02
2	8.530693e+02	9.448438e+02	3.827737e+02
1	8.546991e+02	9.429967e+02	3.768295e+02
1	8.603927e+02	9.381695e+02	3.743953e+02
2	8.684546e+02	9.463940e+02	3.770353e+02
2	8.659439e+02	9.445048e+02	3.747691e+02
1	8.669743e+02	9.441510e+02	3.725522e+02
2	8.693026e+02	9.354367e+02	3.984887e+02
1	8.748089e+02	9.094168e+02	4.052048e+02
