% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
5.000000e+01	7.574463e+20	5.406225e+20	
1.500000e+02	9.691500e+20	6.758050e+20	
2.500000e+02	1.255141e+21	8.721100e+20	
3.500000e+02	1.525078e+21	1.054730e+21	
4.500000e+02	1.763794e+21	1.218614e+21	
5.500000e+02	1.895708e+21	1.310053e+21	
6.500000e+02	1.952985e+21	1.352368e+21	
7.500000e+02	1.910374e+21	1.316676e+21	
8.500000e+02	1.813414e+21	1.248705e+21	
9.500000e+02	1.671891e+21	1.151765e+21	
1.050000e+03	1.515295e+21	1.045329e+21	
1.150000e+03	1.362960e+21	9.397338e+20	
1.250000e+03	1.208978e+21	8.328013e+20	
1.350000e+03	1.043760e+21	7.199113e+20	
1.450000e+03	9.225963e+20	6.355225e+20	
1.550000e+03	8.026975e+20	5.544100e+20	
1.650000e+03	6.997963e+20	4.824363e+20	
1.750000e+03	6.103850e+20	4.221775e+20	
1.850000e+03	5.345063e+20	3.693500e+20	
1.950000e+03	4.692150e+20	3.233600e+20	
2.050000e+03	4.202925e+20	2.900450e+20	
2.150000e+03	3.673325e+20	2.545125e+20	
2.250000e+03	3.258725e+20	2.249263e+20	
2.350000e+03	2.952138e+20	2.040100e+20	
2.450000e+03	2.525713e+20	1.748725e+20	
2.550000e+03	2.242838e+20	1.553275e+20	
2.650000e+03	2.008813e+20	1.393100e+20	
2.750000e+03	1.812263e+20	1.258138e+20	
2.850000e+03	1.650838e+20	1.134300e+20	
2.950000e+03	1.507588e+20	1.040575e+20	
3.050000e+03	1.365038e+20	9.450250e+19	
3.150000e+03	1.195850e+20	8.195125e+19	
3.250000e+03	1.072025e+20	7.438875e+19	
3.350000e+03	9.622375e+19	6.666250e+19	
3.450000e+03	8.733000e+19	6.114125e+19	
3.550000e+03	7.817000e+19	5.491750e+19	
3.650000e+03	7.124750e+19	4.943750e+19	
3.750000e+03	6.494375e+19	4.515875e+19	
3.850000e+03	5.589500e+19	3.895500e+19	
3.950000e+03	4.906125e+19	3.473250e+19	
4.050000e+03	4.359250e+19	3.025625e+19	
4.150000e+03	3.972625e+19	2.729750e+19	
4.250000e+03	3.304875e+19	2.300125e+19	
4.350000e+03	2.858250e+19	1.972750e+19	
4.450000e+03	2.386125e+19	1.675875e+19	
4.550000e+03	1.867000e+19	1.284750e+19	
4.650000e+03	1.517250e+19	1.046000e+19	
4.750000e+03	1.333875e+19	9.223750e+18	
4.850000e+03	9.375000e+18	6.547500e+18	
4.950000e+03	8.162500e+18	5.525000e+18	
5.050000e+03	6.417500e+18	4.472500e+18	
5.150000e+03	4.133750e+18	2.853750e+18	
5.250000e+03	2.311250e+18	1.572500e+18	
5.350000e+03	2.187500e+18	1.446250e+18	
5.450000e+03	1.568750e+18	1.016250e+18	
5.550000e+03	7.750000e+17	5.512500e+17	
5.650000e+03	5.037500e+17	3.650000e+17	
5.750000e+03	1.687500e+17	1.262500e+17	
5.850000e+03	1.100000e+17	7.250000e+16	
5.950000e+03	8.250000e+16	6.000000e+16	
6.050000e+03	1.675000e+17	1.187500e+17	
6.150000e+03	6.250000e+16	4.375000e+16	
6.250000e+03	1.250000e+15	5.000000e+15	
6.350000e+03	1.375000e+16	1.000000e+16	
6.450000e+03	3.125000e+16	2.625000e+16	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	1.250000e+15	0.000000e+00	
6.850000e+03	1.125000e+16	3.750000e+15	
6.950000e+03	6.250000e+15	1.250000e+15	
7.050000e+03	3.625000e+16	2.375000e+16	
7.150000e+03	2.375000e+16	1.875000e+16	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	2.625000e+16	1.500000e+16	
7.650000e+03	2.000000e+16	1.375000e+16	
7.750000e+03	1.250000e+15	0.000000e+00	
7.850000e+03	2.500000e+15	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	6.250000e+15	2.500000e+15	
